birthyr,birthqtr,vetwwii,incwage,disabwrk1,disabwrk2
1926,3,1,17505,0,0
1928,3,0,16005,1,1
1926,3,0,0,1,2
1924,4,1,0,0,0
1926,4,1,0,0,0
1924,3,0,20005,0,0
1926,4,1,0,0,0
1926,3,0,0,1,2
1924,3,0,605,1,2
1926,4,1,19005,1,1
1928,4,0,7205,0,0
1924,3,1,35005,0,0
1926,4,1,13005,0,0
1924,4,0,35005,0,0
1926,3,0,0,1,2
1924,3,0,0,0,0
1928,3,0,12005,0,0
1928,3,0,10005,0,0
1924,3,1,8005,0,0
1924,4,1,0,0,0
1928,4,1,0,1,2
1928,4,0,0,1,2
1928,4,0,2005,0,0
1928,4,0,10005,0,0
1928,3,0,18005,0,0
1928,4,0,50445,0,0
1926,4,1,5205,1,1
1928,3,1,20005,0,0
1928,4,0,15005,1,1
1926,4,1,16325,0,0
1926,3,0,14045,0,0
1928,4,0,0,1,2
1928,3,0,36005,0,0
1928,4,0,10805,0,0
1924,4,0,7005,0,0
1924,4,1,4505,0,0
1928,4,0,0,0,0
1928,3,0,0,1,2
1924,4,1,18005,1,1
1924,4,0,4005,0,0
1928,4,0,3145,0,0
1924,3,1,9005,0,0
1926,3,1,20005,0,0
1928,4,0,0,0,0
1928,3,0,0,0,0
1926,4,1,28605,0,0
1926,3,0,12005,0,0
1926,3,0,0,0,0
1924,4,1,0,0,0
1926,3,1,17005,0,0
1928,3,0,5795,0,0
1924,4,0,7485,0,0
1928,4,0,17005,1,1
1924,3,1,3005,0,0
1928,3,0,19005,0,0
1926,4,0,8545,1,1
1926,3,0,0,1,2
1924,3,1,12005,0,0
1928,4,0,0,0,0
1928,4,0,8915,0,0
1928,4,0,11065,0,0
1926,3,0,10005,0,0
1928,4,0,8005,0,0
1924,3,0,10835,1,1
1924,4,1,8005,0,0
1926,3,0,1875,0,0
1926,3,0,0,0,0
1928,4,0,5005,1,1
1928,4,0,0,0,0
1924,4,0,7005,0,0
1928,3,0,12875,0,0
1924,3,1,11505,0,0
1926,4,0,35405,0,0
1924,4,1,2305,0,0
1926,3,0,7005,0,0
1926,3,1,6505,0,0
1926,3,0,1325,1,2
1926,3,1,24925,0,0
1928,3,1,16235,0,0
1928,3,0,12405,1,1
1928,4,0,9505,0,0
1926,4,1,17805,0,0
1928,4,0,905,0,0
1924,3,1,15095,1,1
1928,3,1,6005,1,1
1924,3,1,0,1,2
1926,4,0,7005,0,0
1926,4,1,9005,0,0
1924,3,1,9385,0,0
1926,4,0,0,0,0
1924,3,1,0,1,1
1928,4,0,0,0,0
1924,4,1,12005,0,0
1928,3,1,10005,0,0
1924,3,1,0,1,2
1928,4,0,0,1,2
1926,4,1,18505,1,1
1924,3,1,20455,0,0
1926,3,1,10005,0,0
1928,3,0,0,0,0
1926,4,1,22895,0,0
1928,3,0,0,1,1
1928,3,1,0,1,2
1924,3,1,15075,0,0
1926,4,1,0,1,2
1924,4,0,11005,0,0
1924,4,1,0,1,1
1926,3,1,13825,0,0
1924,3,1,5005,1,1
1928,4,0,19805,0,0
1924,3,1,13475,0,0
1924,3,1,5885,0,0
1928,3,0,8605,0,0
1926,4,0,17005,0,0
1928,4,0,14005,0,0
1924,3,1,14005,0,0
1928,3,0,355,0,0
1926,3,1,12415,0,0
1924,3,1,16005,0,0
1926,4,0,0,1,2
1924,4,0,0,1,2
1928,4,1,0,1,2
1924,4,1,18705,0,0
1924,3,0,17005,0,0
1924,4,0,1205,0,0
1924,4,0,0,0,0
1928,3,0,12005,0,0
1928,4,0,13355,1,1
1928,3,0,33005,0,0
1926,3,0,20455,0,0
1924,4,0,11045,0,0
1926,3,0,10205,0,0
1924,4,1,19245,0,0
1924,4,1,16305,0,0
1928,4,0,12655,0,0
1926,4,0,22005,0,0
1926,4,1,25505,0,0
1924,4,1,18555,0,0
1926,3,1,13905,0,0
1926,4,1,13005,0,0
1924,3,0,9005,0,0
1926,3,1,0,0,0
1928,3,0,7305,0,0
1924,3,0,8005,0,0
1924,3,1,0,1,2
1928,3,1,17005,0,0
1926,3,0,7205,0,0
1924,3,1,13315,0,0
1924,4,1,7825,0,0
1928,3,0,9855,0,0
1928,3,0,40005,0,0
1926,4,0,8525,0,0
1924,4,0,15005,1,1
1926,4,1,11705,0,0
1928,4,0,2805,0,0
